Name,seed,AdjustedOffense,AdjustedDefense,AdjustedTempo,Region
Houston,1,118.4,89.6,63.3,2
UCLA,2,114.9,87.3,66.2,3
Alabama,1,116.1,88.6,72.7,1
Connecticut,4,119.4,94.1,66.7,3
Tennessee,4,112.7,88.0,65.5,4
Texas,2,116.6,92.0,69.1,2
Purdue,1,119.3,94.8,64.4,4
Gonzaga,3,124.0,99.7,70.0,3
Kansas,1,114.6,91.5,69.2,3
Arizona,2,120.0,97.1,72.3,1
Saint Mary's,5,113.5,91.5,61.7,3
Marquette,2,119.3,97.5,68.3,4
Creighton,6,114.6,94.0,67.9,1
San Diego St.,5,111.9,91.7,66.0,1
Baylor,3,121.9,101.9,66.5,1
Xavier,3,119.3,99.6,70.3,2
West Virginia,9,117.2,98.0,68.8,1
Utah St.,10,117.8,98.9,68.7,1
Memphis,8,114.7,96.0,71.8,4
Arkansas,8,112.6,94.0,69.6,3
Duke,5,113.2,94.8,65.2,4
Florida Atlantic,9,114.4,96.0,68.4,4
Iowa St.,6,114.4,96.0,68.4,2
Kansas St.,3,112.5,94.2,70.2,4
Maryland,8,114.1,95.8,64.6,1
Texas A&M,7,114.5,96.2,66.1,2
TCU,6,112.4,94.3,69.8,3
Kentucky,6,117.4,99.6,66.0,4
Auburn,9,112.7,95.3,67.6,2
Indiana,4,114.6,97.3,68.1,2
Boise St.,10,111.0,93.8,66.5,3
Michigan St.,7,113.3,96.7,64.9,4
Illinois,9,112.1,95.7,69.4,3
Virginia,4,111.2,94.8,61.5,1
USC,10,113.1,97.5,68.1,4
Iowa,8,120.4,104.9,69.5,2
Penn St.,10,116.7,101.8,64.6,2
Miami,5,118.2,103.3,68.8,2
Northwestern,7,108.4,93.7,64.9,3
Providence,11,116.9,102.1,66.9,4
Missouri,7,119.3,105.4,69.1,1
N.C. State,11,113.9,100.6,69.1,1
Oral Roberts,12,115.3,102.1,70.5,4
VCU,12,107.2,94.0,68.0,3
Drake,12,109.8,97.3,66.4,2
Arizona St.,11,107.6,95.2,68.4,3
Kent St.,13,108.3,96.5,68.0,2
Charleston,12,111.4,99.6,70.9,1
Iona,13,110.9,99.1,68.9,3
Pittsburgh,11,115.1,103.8,67.3,2
Furman,13,114.2,105.8,68.4,1
Louisiana Lafayette,13,112.2,104.1,68.4,4
UC Santa Barbara,14,111.3,104.7,64.9,1
Grand Canyon,14,112.3,106.3,65.1,3
Montana St.,14,105.4,99.6,66.4,4
Princeton,15,109.1,103.5,67.4,1
Vermont,15,109.8,104.4,64.6,4
Colgate,15,113.0,107.7,67.8,2
Kennesaw St.,14,106.3,102.7,68.5,2
UNC Asheville,15,104.1,102.6,68.5,3
Northern Kentucky,16,103.3,102.8,62.0,2
Texas A&M Corpus Christi,16,107.1,107.4,69.2,1
Howard,16,103.7,106.9,68.9,3
Fairleigh Dickinson,16,106.2,118.4,68.7,4
