Seed,vs1,vs2,vs3,vs4,vs5,vs6,vs7,vs8,vs9,vs10,vs11,vs12,vs13,vs14,vs15,vs16
1,50.0,54.5,63.4,70.5,82.5,70.6,85.7,79.1,90.5,87.5,55.6,100.0,100.0,100.0,100.0,99.3
2,45.5,50.0,60.9,50.0,28.6,72.2,70.0,40.0,66.7,63.5,84.2,100.0,100.0,100.0,93.2,100.0
3,36.6,39.1,50.0,62.5,50.0,58.1,61.1,100.0,100.0,69.2,66.1,NaN,NaN,85.1,66.7,100.0
4,29.5,50.0,37.5,50.0,56.1,33.3,33.3,33.3,50.0,100.0,NaN,70.5,79.1,100.0,100.0,100.0
5,17.5,71.4,50.0,43.9,50.0,100.0,NaN,25.0,25.0,100.0,NaN,66.7,84.2,100.0,100.0,100.0
6,29.4,27.8,41.9,66.7,0.0,50.0,66.7,25.0,NaN,60.0,62.5,NaN,NaN,87.5,NaN,100.0
7,14.3,30.0,38.9,66.7,NaN,33.3,NaN,50.0,NaN,60.2,0.0,NaN,NaN,100.0,40.0,100.0
8,20.9,60.0,0.0,66.7,75.0,75.0,50.0,50.0,51.2,NaN,100.0,NaN,100.0,100.0,100.0,100.0
9,9.5,33.3,0.0,50.0,75.0,NaN,NaN,48.8,50.0,100.0,0.0,NaN,100.0,NaN,NaN,100.0
10,12.5,36.5,30.8,0.0,0.0,40.0,39.8,NaN,0.0,NaN,50.0,NaN,NaN,100.0,100.0,100.0
11,44.4,15.8,33.9,NaN,NaN,37.5,100.0,0.0,100.0,50.0,50.0,NaN,NaN,100.0,NaN,100.0
12,0.0,0.0,0.0,29.5,33.3,NaN,NaN,100.0,0.0,0.0,0.0,50.0,75.0,NaN,NaN,100.0
13,0.0,0.0,0.0,20.9,15.8,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,NaN,NaN,NaN
14,0.0,0.0,14.9,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,NaN,NaN
15,0.0,6.8,33.3,0.0,0.0,NaN,60.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,50.0,NaN
16,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,50.0
